说话人01(00:00:00): 我看里面对照的，这都是。
说话人04(01:36:19): 动起来！

说话人03(01:36:19): 带走了，带走了。

说话人02(01:36:21): 带走了，太有实力了，我的哥。

说话人01(01:36:25): 太太有实力了，太有实力了！

说话人04(01:36:29): 这就是猫的力量！

说话人03(01:36:31): 这年轻。

说话人04(01:36:32): 快来加入我们喵喵叫吧！

说话人01(01:36:34): 那我也跑吧！

说话人02(01:36:35): Ok那你过 ds当然记得有历史。

说话人04(01:36:38): 还没有进？

说话人02(01:36:39): 你没过，那就留下了。

说话人01(01:36:44): 留下了。

说话人02(01:36:44): 他要秉持着！

说话人01(01:36:44): 留下了。

说话人02(01:36:48): 先不管了，先人抓眼前的，反正他跑的也不快。

说话人04(01:36:52): 我一会儿过来瞧。

说话人02(01:36:55): 诶你会死吗？

说话人03(01:37:00): 会死的。

说话人02(01:37:02): 9点。

说话人01(01:37:02): 兄弟。

说话人02(01:37:04): 你要重击了吧，血量豁免后轻甲减二，那你2点轻甲没了，然后再扣七血，你肯定没有七血，那你血量扣没了再减 ds。Ds 之后再过一个 ds 豁免。

说话人03(01:37:18): 给他多少人？早知道我报两个了。

说话人01(01:37:25): 2.5.3.5. 写 ds 就是扣。

说话人04(01:37:32): 你要不直接装死，然后我搁那嘲讽他？

说话人01(01:37:35): 60连胜2点？

说话人02(01:37:38): 不出意外的话来，那你 d20能出个二吗？能出二或一吗？

说话人01(01:37:45): 一定能出！

说话人04(01:37:47): 相信他。

说话人01(01:37:47): 我后面还要列式吗？

说话人02(01:37:49): 要的！

说话人01(01:37:52): 肯定两个二。

说话人03(01:37:54): 今天一条去？

说话人02(01:37:55): 受伤状态他倒地了。

说话人04(01:38:00): 叔叔你怎么有点死了？

说话人02(01:38:02): Ok你倒地了？

说话人01(01:38:03): 这不是很想害的。

说话人02(01:38:04): 不过你还没有丧失意识你你现在只是无法移动。

说话人01(01:38:11): 这还怕什么，直接不移动了，直接装死。

说话人02(01:38:13): 不移动了，装死吗？那他就吐出了蛛丝，把你捆成蛆。

说话人03(01:38:21): 那一直一集一集的动了？

说话人02(01:38:23): 让我们视角转移到这一边的，刚跑出来的鱼有鱼和尖喵，你们过道去这一边护卫的仙灵依旧在此处，他在过道门口前就在拦着你们干什么又来。

说话人04(01:38:44): 相信那个笼子，我相信他一定能单单杀红寡妇的单一带个魔单杀的。笑死了，我说有一个巨大的红寡妇在追着我们，她很快就要过来了？你快和他们一战，我有一个朋友已经死了。

说话人02(01:39:15): 关我屁事滚！

说话人01(01:39:19): 我想要怎么办？**。

说话人03(01:39:23): 你以为在这方不打复？

说话人01(01:39:23): 我不管他直接。

说话人04(01:39:24): 别往里一冲。

说话人03(01:39:25): 把我们吃了之后就不会管你们了吗？

说话人01(01:39:26): 不是不管他谁往里冲也太久了吧，这也。

说话人04(01:39:30): 没办法！我扣点血，然后直接进去，红寡妇过来的话也要打他，肯定要优先打红寡妇不打我。

说话人01(01:39:39): 那不是你确定你的劣势比钱能冲进去吗？

说话人04(01:39:43): 劣势力量那我们没办法了，你搁这过他跟他过交流吗？

说话人01(01:39:48): 那冲什么也是的。

说话人04(01:39:50): 咱们现在一是不知道他干什么？

说话人01(01:39:50): 你们？

说话人04(01:39:52): 二是我连他种族也不知道。

说话人02(01:39:55): 有一句给你说了！

说话人04(01:39:55): 我玩。

说话人02(01:39:57): 他是先。

说话人04(01:39:57): 不是就算他知道他是仙灵，我对这个世界观没啥了解是这样的，也不知道他要干什么，现在除了冲奖。

说话人02(01:40:07): 他们那位置传送阵？

说话人04(01:40:09): 怎么传绘制传送阵是为了让干什么，他的这个主要的行为动机，是为了传送这些战士们过来是为了传送什么东西回去什么什么都不知道。

说话人02(01:40:22): 对不知道确实不能知道。

说话人04(01:40:23): 对！

说话人02(01:40:24): 你问！

说话人04(01:40:24): 现在除了进去的话。

说话人02(01:40:27): 扩张领土这种事情需要民变吗？

说话人04(01:40:27): 咱们后面还有？

说话人01(01:40:32): 那你就充吧！

说话人04(01:40:33): 咱们后面还有红寡妇在追，现在还在给他交流，浪费时间，按剧情来说的话。

说话人01(01:40:39): 那就从吧！

说话人04(01:40:40): 他怎么只能充了？我最后抱着一个人开始走题，我太强大了。

说话人02(01:40:50): 对，那你就不抱着他，反正有玉现在还不是无法移动。

说话人04(01:40:54): 有鱼，它的体型是多少挥舞它能造成多大伤害？

说话人02(01:41:00): 挥舞他能造成多大伤害吗？临时武器的话是第四，还是第几来着？我看一下共享。

说话人04(01:41:07): 还挺像。

说话人03(01:41:09): 问题是，我应该比你大一圈，你看我的名字比你大只有一格。

说话人04(01:41:18): 如果名字开底屏。

说话人03(01:41:19): 我感觉我只有这两个字！

说话人04(01:41:21): 我12:00力量！

说话人01(01:41:21): 12～16天重型武器？

说话人04(01:41:25): 对这是一个重型武器，然后我一只手挥舞它一只手挥舞这个重锤，然后就这个车门前，不要拦我，谁能。

说话人02(01:41:33): 重锤是他妈双手的！

说话人04(01:41:34): 然后闭着眼，反正我闭着眼睛就往里面抽。

说话人03(01:41:37): 那这还不行就给我。

说话人02(01:41:40): 闭着眼睛往里面冲吗？ds还是敏力量都有劣势，你过哪个？

说话人04(01:41:48): 我本来就有劣势，我全他妈有劣势！

说话人01(01:41:50): 你这又有钱？

说话人04(01:41:51): 我现在看什么都是劣势！

说话人01(01:41:53): 你们哪都有电视？

说话人04(01:41:56): 我劣势多不压身，我现在干什么都是劣势，包括交流啥的，我疲惫。

说话人02(01:42:02): 交流不需要你们过检定，这里就没有社交！

说话人04(01:42:06): 不管了，我想2d 20然后往里充。

说话人02(01:42:11): 只是你们的话术一般般而已。

说话人04(01:42:13): 13+13。

说话人02(01:42:14): 没过！

说话人04(01:42:17): 他就偷没干！不管了。

说话人03(01:42:18): 你，你们就算要扩张领地，也要把领地周围的危险都清除那只红寡妇在你们这里原来不是危险吗？那你们很厉害。

说话人02(01:42:27): 他已经执行了，你现在说也没用了！

说话人04(01:42:31): 我不管！

说话人02(01:42:31): 他都已经执行了冲撞行为了，那是示威挑衅我。

说话人04(01:42:37): 打打我吧，我死了就死了，反正把你们也拖下水，我的任务完成。妈吃。

说话人03(01:42:47): 是不是给我拖到最里面我？

说话人04(01:42:49): 我是手雷王。

说话人02(01:42:51): Ok 戳你2点，不过他是银剑戳不动你，你的甲掉完了吗？

说话人04(01:42:59): 没掉完？

说话人02(01:43:00): 没掉完那就豁免掉了。

说话人04(01:43:00): 我看一下三3点3点点。

说话人02(01:43:03): Ok确实豁免掉了，没打没有造成有效打击，但绊到你的腿了。

说话人04(01:43:10): 没事滚，我要往里滚。

说话人03(01:43:12): 没事，你先滚，我也先离不是。

说话人04(01:43:15): 我可是数输！

说话人03(01:43:16): 我一带两个没有脑子的小鼠真的很难受！

说话人04(01:43:16): 我天生就能滚！

说话人03(01:43:23): 您打他一会儿他这样。不要跟这两只没有脑子的小鼠一般见识。

说话人04(01:43:32): 我不管我是自爆手雷王。

说话人02(01:43:35): 那你想干啥？那你想干啥？

说话人03(01:43:42): 我们？

说话人02(01:43:42): 他悬着银剑！

说话人04(01:43:47): 没事，我们已经进来了，等等一会儿蜘蛛过来。

说话人01(01:43:50): 你们两个算数吗？

说话人04(01:43:50): 他肯定先打蜘蛛，咱们现在直接！

说话人01(01:43:53): 不是你们两个？

说话人04(01:43:53): 现在。

说话人01(01:43:55): 你们两个上供？

说话人04(01:43:55): 跟他唠。

说话人01(01:43:56): 把蜂蜜给他上供去。

说话人04(01:44:00): 太君我是良民我可以为你翻译，可以为你什么什么你我不要钱我是汉**狗狗狗汉**狗狗鼠**。

说话人03(01:44:17): 带着笼子捡回到了四！

说话人04(01:44:23): 我是狗鼠间。

说话人01(01:44:25): 居然不去那边转。

说话人04(01:44:27): 竟然不过来！

说话人01(01:44:29): 今天我过去抓他们两个，那还有一个国道吗？

说话人04(01:44:34): 原来如此完全不知道！

说话人02(01:44:37): 说过！

说话人03(01:44:37): 那我们？

说话人02(01:44:39): 没有找到丰厚的位置？现在知道了，不过他知道也告不了你们。

说话人03(01:44:46): 虽然我们现在十分的弱小以及有受伤的状态，但是我们可以帮你们一起，先把这红寡妇给搞死再说，因为她吃了不少的采蜜薯，这此仇不报非蜀黍！

说话人01(01:45:00): 是极大的问题。

说话人04(01:45:03): 仙灵大人。你你看你如果要把这边站出来，肯定要翻译官，要知道这地的叔叔来帮你带路。

说话人02(01:45:13): 你能跟仙鱼无语言，你能跟仙林无障碍沟通，谁需要语言翻译官？

说话人04(01:45:19): 我说带路党肯定需要带路党。你看我就是带路党，我觉得我能坐好这个位置。

说话人02(01:45:30): 谁需要带路，我们会飞！

说话人04(01:45:34): 那算了。

说话人01(01:45:39): 你还是让小玉说！

说话人04(01:45:40): 有点小预兆。

说话人01(01:45:41): 你还是闭嘴！

说话人03(01:45:42): 我不是说完了吗都？

说话人01(01:45:42): 等一下萧瑟是谁？

说话人02(01:45:44): 没事。

说话人01(01:45:44): 萧瑟。

说话人02(01:45:45): 笼子你这边它没有把你的眼睛给缠上，你看到它从那里把你带出来，然后带你来到了一个满是浓烈的蜂蜡与花粉气息的密室内。这里有一个中央王座上蜷缩着一个蜂后。姿态庄严，像是在守护着什么丰厚的身旁有一个蜡封着的小箱子这边。

说话人01(01:46:17): 还真有保证。

说话人02(01:46:22): 气死我了，把我的猪都打死了可恶。下一个我的幼崽就吃你了。

说话人01(01:46:32): 这是误会！

说话人02(01:46:36): 误会爷爷完了？

说话人01(01:46:40): 这是误会。

说话人04(01:46:41): 完全没有误会！

说话人01(01:46:41): 这是误会这边话说这边还有。

说话人02(01:46:46): 这边能给你到一个0.5的步长。

说话人01(01:46:49): 仙灵的存在你不去对付吗？

说话人02(01:46:56): 他又不干扰我组咋的？干嘛跟那群会法术的没没苦讨苦吃。

说话人01(01:47:12): 可是那边在施法，法术在不断扩张。

说话人02(01:47:14): 关我屁事！

说话人01(01:47:15): 迟早会扩张到这的会有影响的！

说话人02(01:47:17): 你关我屁事！还在嘴硬，他把你的嘴给缠上。你的嘴被缠上了，这下变成哑巴了，不是聋子。

说话人04(01:47:34): 这既然仙灵不向红寡妇走去，咱们让红寡妇向仙灵走来。

说话人02(01:47:41): 怎么做？他们在这已经共存了一段时间。

说话人04(01:47:42): 他不是说。

说话人02(01:47:45): 是有原因的吧，你以为他们两个是今天来的吗？

说话人01(01:47:51): 原来不？

说话人02(01:47:53): ***集市日已经过去两天了。

说话人04(01:47:57): 才两天！

说话人02(01:47:59): 造成这里这么大面积的惨案。

说话人03(01:47:59): 这两天。

说话人02(01:48:03): 不是两天的事！

说话人04(01:48:05): 不知道这不就有法术吗？

说话人02(01:48:09): 哪来的法术？

说话人03(01:48:09): 两天的话，难道不是在清理原生的这些蜜蜂吗？

说话人02(01:48:13): 妈蜘蛛又不会法术，仙灵又不对，法术不用法术对付这里。

说话人04(01:48:19): 我不知道你不要全知全，你不要这种全能全全全上帝视角！

说话人02(01:48:25): 他有法术的话肯定给你用了，他没有！

说话人04(01:48:30): 听不到！

说话人03(01:48:31): 反正我们两个回合对红寡妇造成了零个伤害。

说话人01(01:48:36): 既然现在原本就没打。

说话人02(01:48:39): 我们的攻击都是自动命中的。

说话人01(01:48:39): 那是根本就没打伤。

说话人02(01:48:41): 又不需要过检定，你这是没出生？

说话人01(01:48:43): 这些根本就没打伤。

说话人04(01:48:47): 既然风月崖已经困在这里。

说话人03(01:48:47): 他也不管。

说话人04(01:48:50): 我的任务也算完成了，我可以直接走了。

说话人01(01:48:54): 不是。

说话人03(01:48:56): 太搞笑了，但是风夜牙身上有我们的项链！

说话人02(01:49:02): 还真是。

说话人01(01:49:02): 那个项链值500？

说话人03(01:49:06): 等一下你能不能秋雨能不能过个幸运，你在红寡妇捆笼子的时候把她项链不小心掉下来。

说话人02(01:49:13): 不可能！

说话人01(01:49:14): 你想多了项链非常值钱！

说话人03(01:49:19): 真明明都是我找到的都不在我的兜里。

说话人02(01:49:23): 谁让你背这么多东西？

说话人04(01:49:24): 拿这么多东西，你运气太好了，没办法。

说话人03(01:49:29): 我讨厌你们。

说话人04(01:49:31): 来这样，咱我先打这个护卫仙灵啥什么的，看能不能打两个人能打吗？

说话人03(01:49:38): 不是打的啥？

说话人04(01:49:38): 有点闲了。

说话人03(01:49:39): 你看看我的状态，你要不先看看我的状态再说。

说话人04(01:49:41): 没事，你死你，你死了又不是我死了。

说话人03(01:49:46): 那你打吧，你开战的时候我马上往后跑。

说话人04(01:49:49): 主要是咱们现在是什么都不知道！

说话人02(01:49:56): 你还有啥不知道吗？

说话人04(01:49:56): 玩到现在什么都不知道！

说话人02(01:49:59): 他又没有跟你敌对，你为什么一定要跟人家打？

说话人03(01:50:04): 等一下。

说话人04(01:50:04): 他没有敌对。

说话人03(01:50:05): 等一下睫毛。

说话人01(01:50:05): 还不如。

说话人03(01:50:05): 睫毛对吗？

说话人01(01:50:07): 你不如你走。

说话人03(01:50:07): 你跟他打对你跟他打可以，我没意见，你跟他打。

说话人01(01:50:11): 你不如去找红管，我让小鱼再施展一个黑暗术。

说话人03(01:50:14): 不是我枯竭了，我枯竭是不能再放法术了。

说话人02(01:50:17): 酷姐问方法？

说话人01(01:50:18): 我想我怎么才能威胁他们，我要怎么才能让他？

说话人04(01:50:22): 他们变成友邦？

说话人03(01:50:24): 那你慢慢变吧！

说话人04(01:50:25): 一般吧！

说话人03(01:50:25): 我偷偷摸摸溜走了。

说话人04(01:50:26): 完完全不？

说话人03(01:50:28): 他妈什么交易都没有的空空白皮就想当友方找事！

说话人04(01:50:31): 对我没有交易，对我完全不知道他们的情报，所以我没有，他怎么交易的。

说话人02(01:50:40): **的给个最朴素的给钱！

说话人01(01:50:41): 不是我说一句。

说话人02(01:50:43): 你给钱了吗？

说话人01(01:50:43): 一句！

说话人02(01:50:44): 他没有血。

说话人01(01:50:44): 你判断你是知道你这个判断。

说话人04(01:50:47): 我有。

说话人01(01:50:47): 你是你们两个是知道丰厚的那个丰厚事是没有被找到的。你跟他讲，你们两个去的地方都没有风寡妇也没有风后世，那你可以看得出来风寡妇已经在风后世跟他讲，只要杀了风寡妇就可以获得风后世里无尽的财宝。

说话人02(01:51:03): 好像并不盯这里的财宝，这里长旋。

说话人04(01:51:06): 他们是盯这里土的土地的，等他们传送阵弄完以后拿出来一大堆将军什么的，他们再打红寡妇不好吗？主要是咱们现在这儿，咱们现在。

说话人02(01:51:16): 是冒险鼠有什么高就？

说话人01(01:51:21): 你可以跟他讲择日不如撞日！

说话人04(01:51:25): 现在就得。

说话人01(01:51:27): 你趁你们，你就被我们三人重伤。那你别管，但是你们也损失了一个同伴，只有这个时间还是最脆弱，这是还时间是最弱小的最脆弱的事情。动手！

说话人04(01:51:43): 没办法。

说话人01(01:51:44): 一定很好！

说话人04(01:51:46): 我现在想打护卫仙灵。

说话人01(01:51:48): 等人传送过来偷兵。

说话人04(01:51:49): 能不能把他变人质？

说话人01(01:51:49): 那一定会一定会损失惨重。

说话人04(01:51:58): 信息给的完全没有太不明确了，或者说。

说话人02(01:52:03): 本来就是随便即兴的，不需要这么明确的东西！

说话人04(01:52:05): 我想一下！

说话人03(01:52:09): 你慢慢想吧！

说话人04(01:52:09): 我直接。

说话人02(01:52:10): 能掰你的都给你掰了，你自己还要硬撞墙，不关我事！

说话人03(01:52:16): 这样要不这样，我把我的锅盖给你，你把那个蜂蜜给我一个，我先走再说。

说话人04(01:52:21): 行，咱们一起走吧，我也不管了。

说话人03(01:52:23): 是的，咱们这样还是平分，省得我们三个人分30，我们就两个人分30。

说话人04(01:52:30): 那很好！

说话人03(01:52:33): 对他说是给我们全队又不是说给我们一个人，那人肯定要给他带回来，但是我们全队的话，我们少一个人。不少一个人去。

说话人04(01:52:39): 等咱们出来我就拿我的报酬，然后弄一个木筏，然后咱们直接离开这个国家不管了。

说话人01(01:52:46): 别看着我人在养。

说话人02(01:52:47): 也有国家？

说话人04(01:52:47): 别看大路。

说话人02(01:52:49): 没有国家！

说话人04(01:52:49): 离开大陆？

说话人02(01:52:50): 没事，下次去另一个小镇。

说话人04(01:52:54): 对的，反正也没人认识我们！我们还把。

说话人02(01:52:57): 这里没有全球通缉令，不用管的都是各地的。

说话人03(01:53:00): 对的我们先走吧！拜拜加油！

说话人01(01:53:06): 怎么能？

说话人02(01:53:06): 拜拜！

说话人04(01:53:07): 加油妈妈加油！

说话人01(01:53:07): 对！

说话人02(01:53:10): Ok你们走？

说话人04(01:53:13): 怎么办？这样吧，小玉你把这些东西都拿走，我战斗爽来都来了。

说话人02(01:53:22): 打不动！

说话人04(01:53:23): 打不动就打不动，反正我就想打你不管他。

说话人01(01:53:27): 不是那行吧，这波就打吧！

说话人03(01:53:29): 那你先把东西放下来，我点东西。

说话人02(01:53:32): 好！你就在巢穴洞口这边守着他。

说话人04(01:53:34): 把所有东西都给你。

说话人02(01:53:37): 他把东西都放下来。

说话人04(01:53:40): 然后一会儿风风寡妇就过来了。来都来了，咱们趁过道长休吧！

说话人02(01:53:54): 在这常修行，要是没走赢的话，那就没有干扰了我。

说话人03(01:54:02): 我要跑了！

说话人04(01:54:05): 对你跑吧！

说话人02(01:54:05): 你跑，那你出门了？

说话人04(01:54:09): 反正我是没任何办法了。

说话人03(01:54:11): 把蜂蜜给我一罐！

说话人04(01:54:13): 都给你。

说话人03(01:54:14): 都给我那我扔两个。

说话人04(01:54:16): 我这有口粮木丁。

说话人02(01:54:17): 那你得扔两个东西下去？

说话人04(01:54:19): 分泌活法！

说话人01(01:54:21): 我把。

说话人03(01:54:21): 不是蝙蝠侠到底是什么东西是？

说话人02(01:54:25): 蝙蝠鸭就是蝙蝠鸭！

说话人04(01:54:25): 这蝙蝠的牙？

说话人03(01:54:27): 我还以为什么施法刀不就什么那不要了。

说话人02(01:54:33): 那就丢了！

说话人03(01:54:34): 丢了丢了。

说话人04(01:54:36): 国外也能丢，反正外面是。

说话人02(01:54:39): 外面还没天亮，谁跟你说天亮了？

说话人04(01:54:42): 反反正外面没天亮。

说话人03(01:54:43): Ok ok 改好了改。

说话人04(01:54:46): 行。

说话人03(01:54:46): 我跑了。

说话人04(01:54:46): 那我删了？

说话人03(01:54:47): 我打完回府了。

说话人04(01:54:48): 我把用蜂蜜都删了。

说话人03(01:54:49): 我要回去交差了。

说话人02(01:54:51): Ok那小玉就带上东西跑路了要？

说话人03(01:54:55): 对的。

说话人01(01:54:56): 冯杰打得过吗？

说话人02(01:54:56): 手腕后键。

说话人01(01:54:59): 冯杰打得过吗？我们看看冯杰的表演！

说话人04(01:55:02): 我想我要打谁？

说话人01(01:55:03): 天猫看看天猫有何实力？

说话人02(01:55:08): 想你要打这样？

说话人04(01:55:08): 来都来了，仙灵来打你了。

说话人03(01:55:14): 要不这样吧，你要不一个绕后打法师去吧！

说话人04(01:55:19): 我绕后不了他搁门口堵着！

说话人01(01:55:22): 怎么怎么怎么绕后？

说话人04(01:55:24): 我都进不去，冲都没冲进去，你让我。你让我怎么打，你让我怎么让后？

说话人02(01:55:38): 你直接把他顶飞！

说话人04(01:55:39): 我略势头，我还不如打我直接打，然后当人质看能不能威胁法师大人和我一起打打那个红红寡妇也不知道他们认不认识操，连这个我都不知道，法师我都没聊过。

说话人02(01:55:55): 法师压根就不秒你们！

说话人03(01:55:57): 我靠我还是在吟唱！

说话人02(01:55:58): 就算你们在对峙的非常激烈，他也懒得瞄你们继续专注于他的法阵绘制。虽然他的法阵已经完成了九成九。

说话人04(01:56:07): 我跟这个护卫仙灵说我这个同伴已经回这个城镇了，如果后天之前我不回去，他就会告诉这个什么军队啥的直接过来找你们。所以如果你们能护送我回去的话，能护送我这个朋友回去的话，就和我们和公寡妇打一架，能成功光把这个我的朋友救回来，我们就不告诉我们就直接离远离这里可以吗？

说话人02(01:56:40): 那边就一个蜜糖镇哪来的军队？

说话人04(01:56:44): 那你怎么知道没有军队？

说话人02(01:56:47): 我没在 qq看到！

说话人04(01:56:48): 你你在你在的时间长，还是我待的这个时间长，这里有秘密军队，你可能知道吗？你可你不可能知道的。

说话人02(01:56:55): 你身上不是垃圾装扮吗？

说话人04(01:56:59): 我拉起双倍意味着我对这里更熟悉！

说话人02(01:57:03): 我稍等我看一眼你的，你是脏兮兮的服饰，一看你就。

说话人04(01:57:12): 我对这里更熟悉这附近我都走过。我只是喜欢探险罢了，你不知道吧，你肯定不知道。

说话人02(01:57:21): 你的木筏船员让你说不出这附近的镇子任何细节。

说话人04(01:57:27): 诶，我不说。

说话人02(01:57:28): 是出来炸到？

说话人04(01:57:28): 我就让他猜，我就让他猜。

说话人03(01:57:30): 那他那是自动失败！

说话人04(01:57:31): 我不说，那我就是失败了打。

说话人02(01:57:37): 花里胡哨的我也不，我还以为你想说什么绝妙的话术。

说话人04(01:57:44): 没办法！

说话人02(01:57:44): 他说一一抛过去全是让他全是威胁。

说话人04(01:57:45): 那我编我开编？

说话人02(01:57:48): 全是没有任何交易的谈判。

说话人04(01:57:52): 我木筏船员。

说话人02(01:57:53): 谁跟你谈判？

说话人04(01:57:54): 我跟他交易什么东西，我给他带路他都不行，我唯一能说的就是带路了，因为我是属猪，我现在1块钱都没有，我钱都给封月牙了。

说话人01(01:58:07): 你跟他交易，你说那个项链在我身上，你跟他交易，那现在非常值钱。

说话人03(01:58:10): 不是他。

说话人04(01:58:11): 项链是什么？

说话人03(01:58:11): 他连丰厚你的财宝都不在意，他还在意你身上一个小小的项链吗？

说话人04(01:58:14): 我都不知道他是项链是不是他们先林丢的，不知道。

说话人03(01:58:20): 对你就说项链，说明他们。

说话人04(01:58:23): 我说，我之前找到一个项链，不知道你们这里是不是你们的。

说话人02(01:58:29): 继续说。

说话人04(01:58:34): 不告诉你，我也不知道。

说话人01(01:58:36): 不是你这个点说话你不说都得死！

说话人03(01:58:38): 对你就要给他读一下！

说话人01(01:58:40): 你这样描述？

说话人04(01:58:40): 我给他描述一下照的项链。

说话人02(01:58:43): 叫出来。

说话人04(01:58:45): 不在我身上？

说话人01(01:58:46): 那很明显在谁身上？

说话人04(01:58:47): 告诉你在这个红红寡妇身上，而他把我那个好友抓走了，就是我刚才跟你说的那个。

说话人02(01:58:58): 你去把它抢回来，我给你犒劳。

说话人01(01:59:03): 好吗？太好了。就等你这句话了，你得一起去，不然你得跟他一起邀请他，我跟他展示一下我。

说话人02(01:59:11): 没事，他的法阵已经快绘制完了，他可以跟法法师仙灵一块去！

说话人01(01:59:17): 那咱们一起去吧！

说话人02(01:59:18): 对的。

说话人04(01:59:19): 一起走一起走走走走爱你们！所以我在这能看到孩子这上面到底是什么吗？

说话人02(01:59:25): 牌子上面吗？看不见你得来到他？

说话人01(01:59:29): 你就别管了。

说话人02(01:59:29): 他这个方位才能看得见他牌子上放啥？

说话人01(01:59:30): 直接走吧！

说话人02(01:59:32): 你来都来了，你还不是巨大的鼠的体型，你不可以看到。

说话人01(01:59:37): 就别管了。

说话人02(01:59:37): 方向。

说话人01(01:59:38): 走吧，走吧！

说话人02(01:59:40): Ok ok那他俩傻猫傻鼠。

说话人04(01:59:40): 走吧，走吧！

说话人04(01:59:41): 走吧战斗！两两位两位仙灵！

说话人02(01:59:49): 终于亮终于问通了！

说话人04(01:59:52): 我是角色不知道！

说话人01(01:59:59): 全速前往，丰富好你！

说话人02(02:00:01): 你就联想！

说话人04(02:00:03): 我联想它干什么，我又这是贱猫，我这不是封间可能就拿到什么了。

说话人01(02:00:09): 不是你能？

说话人04(02:00:10): 问问我又不？

说话人01(02:00:10): 你能看出来，这个项链是被他们小的给藏起来的，不是被红寡妇藏起来的，是被那些小他那些孩子藏起来的？

说话人04(02:00:20): 完全没听懂，算了，打打。

说话人02(02:00:24): 你的星象应该跟这一个风月牙互换，你不应该当慈母的。

说话人04(02:00:32): 你你看旁边一个母亲都抱着她孩子跑了，我搁这。

说话人01(02:00:37): 就这样抱你。

说话人04(02:00:38): 我搁这。

说话人01(02:00:38): 他妈孩子跑了？

说话人04(02:00:42): 我可这为了自己的队友们，然后我还是第一个想把小玉带走的，你说我不是我不该温柔的对待自己的孩子，我是我喜欢打架，我还救他干什么？我直接**护卫打**法师打**红寡妇打。

说话人01(02:01:00): 他赶紧去。过道也打吧！

说话人02(02:01:12): 小玉你不跑的话，完全没有这么多劣势的。

说话人03(02:01:17): 不是我身上带了三个 debuff 了已经然后。

说话人02(02:01:22): 你身上没有三个，你身上只有两个？

说话人03(02:01:28): 我不管我就跑。

说话人04(02:01:30): 没问题的。

说话人03(02:01:31): 我已经脱站了，不是没有我的聚光灯了。

说话人02(02:01:35): 没事，到时候剩下的财产你们分了。

说话人03(02:01:39): 对！

说话人04(02:01:41): 谢谢谢！

说话人02(02:01:43): 你都说了仙灵他只在乎他要的。

说话人04(02:01:43): 所以法师大人。

说话人02(02:01:45): 他不在乎这里的财宝，那他拿到他要的，剩下的不都是你们的了吗？

说话人01(02:01:51): 不要紧。

说话人04(02:01:51): 对！

说话人03(02:01:51): 对！

说话人04(02:01:52): 还真是！

说话人03(02:01:52): 都是你们俩的，没事，我把你们！

说话人04(02:01:55): 都是我们俩的，我们先能活过来再说。

说话人03(02:01:57): 我把你们任务奖金给舔完，我不管。

说话人04(02:01:59): 你你问问你问问笼子现在有几个？

说话人01(02:02:00): 不是你觉得不是小玉，你觉得你跟他说我们两个死了就剩你一个了。

说话人03(02:02:04): 我知道，肯定你们这边赚那没关系的，我把你们6个任务奖金给填完，我不管。

说话人01(02:02:09): 不是小玉，我说句实在的，如果你跟他说我们两个都死了，我们两个出现在他面前，你觉得他会怎么样？

说话人04(02:02:17): 没事，这里没有冲击力。

说话人03(02:02:18): 甘菊也在证明我完成任务了！

说话人02(02:02:25): 对！

说话人01(02:02:25): 他自己的女。

说话人02(02:02:26): 就给你发那个30p 了？

说话人01(02:02:27): 该几点我？

说话人03(02:02:28): 对他说是给我们全队奖励，又不是给我们个人奖励我代表我们队来拿不行吗？你们俩受伤了。

说话人04(02:02:38): 没事来吧，战斗爽！

说话人03(02:02:41): 来吧！

说话人02(02:02:41): Ok那就由于我偷袭不了，那就过一个先攻，你其实可以不用过你这你就在最后就好了。

说话人04(02:02:51): 我一定要躲在他们身后！对！

说话人01(02:02:55): 你在最后大？

说话人04(02:02:55): 保护在他身后，看看有没有聋子的身影。

说话人02(02:02:58): 寡妇失败先法师成功护卫成功，你最后好的那法师先来。让你见识一下法师的威力，其实他只有一个恐惧树而已。

说话人03(02:03:15): 我要看下真卡生物。他一口气说在背那么久的咒。

说话人02(02:03:22): 他在绘制传送阵，不是在念恐惧，他们说什么？战斗法术都是及时的，我看看我决定投个4d6豪赌。

说话人03(02:03:39): 那包有六的？

说话人02(02:03:44): 反正烧的是。

说话人03(02:03:45): 真的 ok不结了？

说话人02(02:03:48): 力竭加一！

说话人04(02:03:52): 加油！朋友们，龙龙子？

说话人01(02:03:56): 你也上你怕什么？

说话人04(02:03:58): 我找笼子我找你，他们俩打起来了。

